,room_id,price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,price12,price13,price14,price15,price16,last_modified1,last_modified2,last_modified3,last_modified4,last_modified5,last_modified6,last_modified7,last_modified8,last_modified9,last_modified10,last_modified11,last_modified12,last_modified13,last_modified14,last_modified15,last_modified16,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,month13,month14,month15,month16
0,10010,171.0,167.0,166.0,129.0,148.0,143.0,151.0,151.0,177.0,166.0,129.0,149.0,141.0,142.0,147.0,156.0,2013-12-03 02:27:39.000000,2014-09-22 01:17:19.567000,2015-03-01 08:16:31.689000,2016-01-01 14:45:39.023120,2016-08-10 22:08:07.510842,2017-01-20 04:49:09.587381,2017-03-29 14:22:50.520918,2017-04-26 15:05:41.080691,2014-05-17 10:23:42.029000,2015-01-12 23:16:10.780000,2015-12-20 03:39:45.844538,2016-05-26 20:19:32.669205,2017-01-03 01:21:12.670906,2017-02-20 01:00:27.042061,2017-04-17 02:48:57.584910,2017-06-18 12:40:09.552851,12,9,3,1,8,1,3,4,5,1,12,5,1,2,4,6
1,17592,160.0,156.0,156.0,121.0,125.0,118.0,121.0,122.0,166.0,156.0,121.0,125.0,117.0,118.0,118.0,125.0,2013-12-01 22:41:03.000000,2014-09-22 19:45:38.213000,2015-03-02 02:16:25.327000,2016-01-01 14:59:36.510667,2016-08-13 00:49:08.039022,2017-01-20 01:55:52.538740,2017-03-29 10:04:26.094886,2017-04-26 09:45:47.491105,2014-05-17 22:17:04.013000,2015-01-13 15:38:46.775000,2015-12-19 20:03:39.358874,2016-05-27 18:32:30.286951,2017-01-02 21:24:45.714829,2017-02-19 21:21:07.205861,2017-04-16 21:54:49.092539,2017-06-18 10:16:58.275492,12,9,3,1,8,1,3,4,5,1,12,5,1,2,4,6
2,17994,251.0,361.0,425.0,292.0,285.0,275.0,279.0,280.0,258.0,403.0,293.0,287.0,271.0,273.0,273.0,288.0,2013-12-01 23:54:37.000000,2014-09-22 06:30:21.074000,2015-03-01 13:58:14.953000,2016-01-01 22:13:17.659733,2016-08-10 12:26:16.422939,2017-01-20 08:02:23.944237,2017-03-29 17:16:51.184122,2017-04-26 18:12:23.700684,2014-05-17 14:02:27.684000,2015-01-13 04:11:35.294000,2015-12-18 02:14:08.206193,2016-05-27 19:16:00.933358,2017-01-03 05:35:15.466605,2017-02-20 05:09:50.279133,2017-04-17 05:04:58.716384,2017-06-18 18:13:38.445207,12,9,3,1,8,1,3,4,5,1,12,5,1,2,4,6
3,19260,201.0,196.0,195.0,111.0,124.0,119.0,133.0,134.0,207.0,195.0,111.0,137.0,117.0,97.0,130.0,137.0,2013-12-05 00:46:25.000000,2014-09-22 05:02:46.252000,2015-03-01 12:19:22.456000,2015-12-31 18:36:56.590742,2016-08-11 15:55:52.582792,2017-01-20 01:55:49.650900,2017-03-29 13:15:30.237751,2017-04-26 13:35:19.171643,2014-05-17 13:03:46.554000,2015-01-13 02:48:23.402000,2015-12-17 21:07:24.222110,2016-05-28 09:08:27.216562,2017-01-02 21:24:45.719737,2017-02-19 14:55:17.806172,2017-04-17 01:19:19.053424,2017-06-18 10:17:52.810684,12,9,3,12,8,1,3,4,5,1,12,5,1,2,4,6
4,21419,119.0,130.0,130.0,116.0,138.0,110.0,112.0,112.0,123.0,130.0,117.0,138.0,108.0,109.0,109.0,115.0,2013-12-03 23:03:03.000000,2014-09-22 18:24:00.135000,2015-03-02 00:52:54.441000,2016-01-02 21:27:08.704055,2016-08-11 17:20:02.179209,2017-01-20 02:06:26.064009,2017-03-29 10:15:03.153316,2017-04-26 09:58:44.367347,2014-05-17 21:23:58.415000,2015-01-13 14:13:24.708000,2015-12-18 08:29:50.453962,2016-05-28 08:16:44.559217,2017-01-02 21:41:38.473725,2017-02-19 21:30:56.877526,2017-04-16 22:07:25.522099,2017-06-18 03:55:47.765613,12,9,3,1,8,1,3,4,5,1,12,5,1,2,4,6
5,23568,146.0,142.0,141.0,72.0,79.0,87.0,72.0,105.0,150.0,142.0,77.0,97.0,80.0,81.0,70.0,112.0,2013-12-06 04:44:03.000000,2014-09-22 00:16:23.686000,2015-03-01 07:11:27.968000,2016-01-01 21:29:12.823837,2016-08-12 23:08:23.582908,2017-01-19 21:10:52.681785,2017-03-28 21:35:36.728516,2017-04-26 09:43:32.886060,2014-05-17 09:41:15.697000,2015-01-12 22:15:22.622000,2015-12-19 00:21:14.469219,2016-05-28 06:25:38.595927,2017-01-02 07:34:47.824298,2017-02-19 08:47:17.347160,2017-04-16 09:39:22.442789,2017-06-18 04:14:24.807510,12,9,3,1,8,1,3,4,5,1,12,5,1,2,4,6
6,27288,134.0,130.0,144.0,113.0,115.0,110.0,108.0,109.0,138.0,145.0,113.0,114.0,108.0,109.0,106.0,111.0,2013-12-02 01:37:58.000000,2014-09-22 16:07:51.260000,2015-03-01 22:49:18.652000,2016-01-01 03:50:12.469123,2016-08-13 01:03:40.809174,2017-01-20 01:56:56.012979,2017-03-29 10:04:37.652224,2017-04-26 09:44:13.348897,2014-05-17 20:03:29.706000,2015-01-13 12:10:45.893000,2015-12-18 03:29:04.241086,2016-05-26 21:07:13.867850,2017-01-02 21:25:48.212475,2017-02-19 21:21:37.612666,2017-04-16 21:55:18.530385,2017-06-18 03:41:49.248311,12,9,3,1,8,1,3,4,5,1,12,5,1,2,4,6
7,32082,178.0,188.0,202.0,158.0,155.0,101.0,156.0,156.0,198.0,203.0,163.0,156.0,100.0,101.0,152.0,164.0,2013-12-02 00:34:06.000000,2014-09-22 07:24:03.749000,2015-03-01 14:55:47.856000,2015-12-31 21:02:01.686618,2016-08-12 01:13:19.404300,2017-01-19 21:46:00.484538,2017-03-29 14:22:26.441514,2017-04-26 15:15:46.307117,2014-05-17 14:36:18.428000,2015-01-13 04:59:54.699000,2015-12-18 05:06:01.976116,2016-05-27 13:10:35.351920,2017-01-02 15:29:42.916679,2017-02-19 16:04:55.536227,2017-04-17 02:48:28.147744,2017-06-18 12:25:37.639629,12,9,3,12,8,1,3,4,5,1,12,5,1,2,4,6
8,32883,90.0,87.0,87.0,67.0,69.0,66.0,67.0,67.0,92.0,87.0,68.0,69.0,65.0,66.0,66.0,69.0,2013-12-06 17:08:20.000000,2014-09-22 11:16:47.796000,2015-03-01 18:39:29.204000,2016-01-01 10:40:02.242637,2016-08-10 15:59:12.269002,2017-01-19 07:28:55.590075,2017-03-28 14:16:15.425955,2017-04-27 07:35:18.579703,2014-05-17 17:17:29.951000,2015-01-13 08:14:55.934000,2015-12-18 00:57:31.645571,2016-05-27 15:36:19.478254,2017-01-01 23:57:24.597067,2017-02-19 00:42:58.176503,2017-04-16 03:04:13.437149,2017-06-17 10:01:54.990436,12,9,3,1,8,1,3,4,5,1,12,5,1,2,4,6
9,33814,82.0,174.0,173.0,146.0,137.0,132.0,134.0,135.0,184.0,174.0,146.0,138.0,130.0,131.0,131.0,138.0,2013-12-02 01:24:51.000000,2014-09-22 00:53:36.916000,2015-03-01 07:50:20.288000,2015-12-31 12:45:02.081065,2016-08-10 15:53:37.554126,2017-01-20 06:09:51.621455,2017-03-29 14:19:30.836915,2017-04-26 14:58:02.446334,2014-05-17 10:05:38.653000,2015-01-12 22:51:35.581000,2015-12-18 04:06:15.225366,2016-05-28 00:53:51.815766,2017-01-03 03:07:55.363733,2017-02-20 02:37:41.898471,2017-04-17 02:42:44.838955,2017-06-18 12:17:55.477732,12,9,3,12,8,1,3,4,5,1,12,5,1,2,4,6
