GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1600000US0107000,0107000,"Birmingham city, Alabama",213434,1446
1600000US0121184,0121184,"Dothan city, Alabama",67714,288
1600000US0135896,0135896,"Hoover city, Alabama",84943,123
1600000US0137000,0137000,"Huntsville city, Alabama",196225,2817
1600000US0150000,0150000,"Mobile city, Alabama",192895,44
1600000US0151000,0151000,"Montgomery city, Alabama",200024,22
1600000US0177256,0177256,"Tuscaloosa city, Alabama",99556,48
1600000US0203000,0203000,"Anchorage municipality, Alaska",298192,*****
1600000US0404720,0404720,"Avondale city, Arizona",82875,36
1600000US0410670,0410670,"Casas Adobes CDP, Arizona",70589,5147
1600000US0412000,0412000,"Chandler city, Arizona",247459,76
1600000US0423620,0423620,"Flagstaff city, Arizona",71455,22
1600000US0427400,0427400,"Gilbert town, Arizona",237120,73
1600000US0427820,0427820,"Glendale city, Arizona",245849,165
1600000US0428380,0428380,"Goodyear city, Arizona",77266,44
1600000US0446000,0446000,"Mesa city, Arizona",484622,129
1600000US0454050,0454050,"Peoria city, Arizona",164198,105
1600000US0455000,0455000,"Phoenix city, Arizona",1615041,96
1600000US0464210,0464210,"San Tan Valley CDP, Arizona",82911,8009
1600000US0465000,0465000,"Scottsdale city, Arizona",246646,32
1600000US0471510,0471510,"Surprise city, Arizona",132673,41
1600000US0473000,0473000,"Tempe city, Arizona",182499,41
1600000US0477000,0477000,"Tucson city, Arizona",530690,77
1600000US0485540,0485540,"Yuma city, Arizona",94892,58
1600000US0515190,0515190,"Conway city, Arkansas",65300,18
1600000US0523290,0523290,"Fayetteville city, Arkansas",83823,33
1600000US0524550,0524550,"Fort Smith city, Arkansas",88122,40
1600000US0535710,0535710,"Jonesboro city, Arkansas",74892,21
1600000US0541000,0541000,"Little Rock city, Arkansas",198546,39
1600000US0550450,0550450,"North Little Rock city, Arkansas",66273,33
1600000US0560410,0560410,"Rogers city, Arkansas",65016,34
1600000US0566080,0566080,"Springdale city, Arkansas",81799,2998
1600000US0600562,0600562,"Alameda city, California",78907,29
1600000US0600884,0600884,"Alhambra city, California",85465,51
1600000US0602000,0602000,"Anaheim city, California",351066,89
1600000US0602252,0602252,"Antioch city, California",110876,85
1600000US0602364,0602364,"Apple Valley town, California",72542,47
1600000US0602553,0602553,"Arden-Arcade CDP, California",106061,8078
1600000US0603526,0603526,"Bakersfield city, California",376371,67
1600000US0603666,0603666,"Baldwin Park city, California",76465,28
1600000US0604982,0604982,"Bellflower city, California",77789,32
1600000US0606000,0606000,"Berkeley city, California",121241,34
1600000US0608786,0608786,"Buena Park city, California",83148,48
1600000US0608954,0608954,"Burbank city, California",104451,39
1600000US0610046,0610046,"Camarillo city, California",67345,57
1600000US0611194,0611194,"Carlsbad city, California",113957,44
1600000US0611390,0611390,"Carmichael CDP, California",63064,5876
1600000US0611530,0611530,"Carson city, California",92821,87
1600000US0611964,0611964,"Castro Valley CDP, California",65153,4863
1600000US0613014,0613014,"Chico city, California",91545,73
1600000US0613210,0613210,"Chino city, California",87771,43
1600000US0613214,0613214,"Chino Hills city, California",78821,38
1600000US0613392,0613392,"Chula Vista city, California",267169,40
1600000US0613588,0613588,"Citrus Heights city, California",87444,52
1600000US0614218,0614218,"Clovis city, California",106587,47
1600000US0615044,0615044,"Compton city, California",97537,56
1600000US0616000,0616000,"Concord city, California",128728,36
1600000US0616350,0616350,"Corona city, California",166774,60
1600000US0616532,0616532,"Costa Mesa city, California",112825,31
1600000US0617918,0617918,"Daly City city, California",106484,51
1600000US0618100,0618100,"Davis city, California",68107,31
1600000US0619766,0619766,"Downey city, California",113267,35
1600000US0620802,0620802,"East Los Angeles CDP, California",127804,9683
1600000US0621712,0621712,"El Cajon city, California",103769,36
1600000US0622020,0622020,"Elk Grove city, California",169780,123
1600000US0622230,0622230,"El Monte city, California",115800,44
1600000US0622804,0622804,"Escondido city, California",151594,80
1600000US0623182,0623182,"Fairfield city, California",114757,33
1600000US0624477,0624477,"Florence-Graham CDP, California",63582,7622
1600000US0624638,0624638,"Folsom city, California",77278,37
1600000US0624680,0624680,"Fontana city, California",209659,44
1600000US0626000,0626000,"Fremont city, California",233145,48
1600000US0627000,0627000,"Fresno city, California",522021,114
1600000US0628000,0628000,"Fullerton city, California",140734,56
1600000US0629000,0629000,"Garden Grove city, California",174877,78
1600000US0630000,0630000,"Glendale city, California",200826,41
1600000US0632548,0632548,"Hawthorne city, California",88032,30
1600000US0633000,0633000,"Hayward city, California",158969,110
1600000US0633182,0633182,"Hemet city, California",84277,36
1600000US0633434,0633434,"Hesperia city, California",93714,48
1600000US0636000,0636000,"Huntington Beach city, California",200631,78
1600000US0636448,0636448,"Indio city, California",88484,32
1600000US0636546,0636546,"Inglewood city, California",110667,55
1600000US0636770,0636770,"Irvine city, California",266117,43
1600000US0637692,0637692,"Jurupa Valley city, California",103543,27
1600000US0639248,0639248,"Laguna Niguel city, California",65328,30
1600000US0639496,0639496,"Lake Forest city, California",83236,33
1600000US0639892,0639892,"Lakewood city, California",81121,70
1600000US0640130,0640130,"Lancaster city, California",160107,38
1600000US0641992,0641992,"Livermore city, California",89118,31
1600000US0643000,0643000,"Long Beach city, California",470140,65
1600000US0644000,0644000,"Los Angeles city, California",3976324,60
1600000US0644574,0644574,"Lynwood city, California",71184,29
1600000US0645484,0645484,"Manteca city, California",76912,37
1600000US0646842,0646842,"Menifee city, California",88510,73
1600000US0646898,0646898,"Merced city, California",82573,77
1600000US0647766,0647766,"Milpitas city, California",77534,34
1600000US0648256,0648256,"Mission Viejo city, California",96386,50
1600000US0648354,0648354,"Modesto city, California",212172,38
1600000US0649270,0649270,"Moreno Valley city, California",205516,68
1600000US0649670,0649670,"Mountain View city, California",80459,56
1600000US0650076,0650076,"Murrieta city, California",111682,42
1600000US0650258,0650258,"Napa city, California",80412,32
1600000US0651182,0651182,"Newport Beach city, California",86683,28
1600000US0652526,0652526,"Norwalk city, California",106161,72
1600000US0653000,0653000,"Oakland city, California",419987,81
