1911 Hard Cider, Marietta, New York
Aaron Burr Cider, Wurtsboron, New York
ADK Hard Cider, Plattsburgh, New York
Angry Orchard Cider Company, Walden, New York
Applewood Winery, Warwick, New York
Awestruck Ciders, Sidney, New York
Bad Seed Cider, Highland, New York
Bellwether Hard Cider, Interlaken, New York
Big Apple Hard Cider, New York, New York
Black Bear Winery, Chenango Forks, New York
Black Creek Cidery, Byron, New York
Black Diamond Cider, Trumansburg, New York
BlackBird Cider Works, Barker, New York
Blackduck Cidery, Ovid, New York
Blackman Cider Co., Lockport, New York
Brooklyn Cider House, New Paltz, New York
Catharine Valley Winery, Burdett, New York
Chateau Buffalo, Buffalo, New York
Cider Creek Hard Cider, Canisteo, New York
Cliffton Dry, New York, New York
Critz Farms Brewing & Cider Co., Cazenovia, New York
Descendant Cider Company, Maspeth, New York
East Hollow Cider, Petersburg, New York
Embark Craft Ciderworks, Williamson, New York
Everett Orchards, Plattsburgh, New York
Eve’s Cidery, Van Etten, New York
Fly Creek Cider Mill & Orchard, Fly Creek, New York
Furnace Cider, Sag Harbor, New York
Graft Cider, Newburgh, New York
Greenpoint Cidery, Hudson, New York
Grisamore Cider Works, Locke, New York
Hardscrabble Cider, North Salem, New York
Hazlitt’s Cider Tree, Naples, New York
Hudson Valley Farmhouse Cider, Staatsburg, New York
Indian Ladder Farmstead Cidery and Brewery, Altamont, New York
Joe Daddy’s Hard Cider, Castleton-On-Hudson, New York
Johnny Appleseed Hard Apple Cider, Baldwinsville, New York
Kaneb Orchards, Massena, New York
Kashong Creek Craft Cider, Geneva, New York
Kettleborough Cider House, New Paltz, New York
Kings Highway, Brooklyn, New York
Lake Drum Brewing, Geneva, New York
Leonard Oakes Estate Winery, Medina, New York
McKenzie’s Hard Cider, West Seneca, New York
Metal House Cider, Ulster Park, New York
Nine Pin Cider, Albany, New York
Orchard Hill Cider Mill, New Hampton, New York
Original Sin, New York, New York
Original Stump Blower Ciderworks, Lakeville, New York
Pennings Farm Cidery, Warwick, New York
Pitchfork Hard Cider, Poughkeepsie, New York
Po’ Boy Brewery, Port Jefferson Station, New York
Redbyrd Orchard Cider, Trumansburg, New York
Riverhead Ciderhouse, Riverhead, New York
Rootstock Ciderworks, Marion, New York
Saratoga Apple, Schuylerville, New York
Scrumpy Ewe Cider, Charlotteville, New York
Slyboro Ciderhouse, Granville, New York
South Hill Cider, Ithaca, New York
Standard Cider Company, Washingtonville, New York
Star Cider, Clifton Springs, New York
Sterling Cidery, Sterling, New York
Stone Bridge Cider, Hudson, New York
Sundog Cider, Chatham, New York
